"Hostname","Site","Routing domain","Switching Domain","Serial Number","Login IP","Management Protocol","Uptime","Reload Reason","Memory %","Vendor","Family","Platform","Model","Configuration Register","Version","Processor","Type","API Slug"
"usdc02-fab1-lb-002-white.network.axadmin.net","us,dc02","","","f5-wefw-qqju","10.119.8.85","ssh","6 days, 9 hours, 39 minutes","","3.16","f5","big-ip","vcmp","","","17.1.1.4","","lb",""
"usdc02-fab1-lb-002-rell-npd.solera.farm","us,dc02","","","f5-wefw-qqju","10.119.8.89","ssh","6 days, 9 hours, 22 minutes","","0.94","f5","big-ip","vcmp","","","17.1.1.4","","lb",""
"usdc02-fab1-lb-002-grpur.network.axadmin.net","us,dc02","","","f5-wefw-qqju","10.119.8.87","ssh","6 days, 9 hours, 47 minutes","","0.97","f5","big-ip","vcmp","","","17.1.1.4","","lb",""
"usdc02-fab1-lb-002-blue.network.axadmin.net","us,dc02","","","f5-wefw-qqju","10.119.8.81","ssh","6 days, 9 hours, 40 minutes","","1.06","f5","big-ip","vcmp","","","17.1.1.4","","lb",""
"usdc02-fab1-lb-002-black.network.axadmin.net","us,dc02","","","f5-wefw-qqju","10.119.8.83","ssh","6 days, 9 hours, 47 minutes","","0.97","f5","big-ip","vcmp","","","17.1.1.4","","lb",""
"usdc02-fab1-lb-001-rell-npd.solera.farm","us,dc02","","","f5-vgtg-evgk","10.119.8.88","ssh","6 days, 7 hours, 35 minutes","","0.98","f5","big-ip","vcmp","","","17.1.1.4","","lb",""
"usdc02-fab1-lb-001-grpur.network.axadmin.net","us,dc02","","","f5-vgtg-evgk","10.119.8.86","ssh","6 days, 7 hours, 35 minutes","","0.97","f5","big-ip","vcmp","","","17.1.1.4","","lb",""
"usdc02-fab1-lb-001-blue.network.axadmin.net","us,dc02","","","f5-vgtg-evgk","10.119.8.80","ssh","6 days, 7 hours, 41 minutes","","1.05","f5","big-ip","vcmp","","","17.1.1.4","","lb",""
"usdc02-fab1-lb-001-black.network.axadmin.net","us,dc02","","","f5-vgtg-evgk","10.119.8.82","ssh","6 days, 8 hours, 3 minutes","","0.97","f5","big-ip","vcmp","","","17.1.1.4","","lb",""
"usdc02-fab1-lb-001-white.network.axadmin.net","us,dc02","","","f5-vgtg-evgk","10.119.8.84","ssh","6 days, 7 hours, 39 minutes","","3.15","f5","big-ip","vcmp","","","17.1.1.4","","lb",""
"eudc01-lb-002-test.network.axadmin.net","eu,dc01","","","f5-ukaq-paxm","10.119.16.91","ssh","1 year, 10 months, 1 week, 2 days, 3 hours, 59 minutes","","1.71","f5","big-ip","vcmp","","","16.0.1","","lb",""
"eudc01-lb-002-greenpurple.network.axadmin.net","eu,dc01","","","f5-ukaq-paxm","10.119.16.87","ssh","1 year, 3 months, 2 weeks, 4 days, 5 hours, 57 minutes","","0.87","f5","big-ip","vcmp","","","16.1.2.2","","lb",""
"eudc01-lb-002-white.network.axadmin.net","eu,dc01","","","f5-ukaq-paxm","10.119.16.85","ssh","1 year, 3 weeks, 3 days, 13 hours, 2 minutes","","1.53","f5","big-ip","vcmp","","","16.1.2.2","","lb",""
"eudc01-lb-002-nonprod.network.axadmin.net","eu,dc01","","","f5-ukaq-paxm","10.119.16.89","ssh","1 year, 8 months, 2 weeks, 6 days, 1 hour, 5 minutes","","1.6","f5","big-ip","vcmp","","","16.1.2.2","","lb",""
"eudc01-lb-002-blue.network.axadmin.net","eu,dc01","","","f5-ukaq-paxm","10.119.16.81","ssh","1 year, 2 months, 1 week, 5 days, 15 hours, 49 minutes","","1.38","f5","big-ip","vcmp","","","16.1.2.2","","lb",""
"eudc01-lb-002-black.network.axadmin.net","eu,dc01","","","f5-ukaq-paxm","10.119.16.83","ssh","1 year, 2 months, 5 days, 16 hours, 39 minutes","","1.2","f5","big-ip","vcmp","","","16.1.2.2","","lb",""
"eudc02-lb-002-test.network.axadmin.net","eu,dc02","","","f5-tnmm-myio","10.119.24.91","ssh","1 year, 10 months, 1 week, 2 days, 3 hours, 54 minutes","","1.73","f5","big-ip","vcmp","","","16.0.1","","lb",""
"eudc02-lb-002-greenpurple.network.axadmin.net","eu,dc02","","","f5-tnmm-myio","10.119.24.87","ssh","1 year, 8 months, 3 weeks, 19 minutes","","0.87","f5","big-ip","vcmp","","","16.1.2.2","","lb",""
"eudc02-lb-002-white.network.axadmin.net","eu,dc02","","","f5-tnmm-myio","10.119.24.85","ssh","1 year, 2 weeks, 6 days, 16 hours, 54 minutes","","1.36","f5","big-ip","vcmp","","","16.1.2.2","","lb",""
"eudc02-lb-002-nonprod.network.axadmin.net","eu,dc02","","","f5-tnmm-myio","10.119.24.89","ssh","1 year, 8 months, 3 weeks, 47 minutes","","0.85","f5","big-ip","vcmp","","","16.1.2.2","","lb",""
"eudc02-lb-002-blue.network.axadmin.net","eu,dc02","","","f5-tnmm-myio","10.119.24.81","ssh","1 year, 8 months, 3 weeks, 25 minutes","","1.45","f5","big-ip","vcmp","","","16.1.2.2","","lb",""
"eudc02-lb-002-black.network.axadmin.net","eu,dc02","","","f5-tnmm-myio","10.119.24.83","ssh","1 year, 8 months, 3 weeks, 14 minutes","","1.2","f5","big-ip","vcmp","","","16.1.2.2","","lb",""
"usdc01-fab1-lb-002-white.network.axadmin.net","us,dc01","","","f5-qshb-ojfm","10.119.0.85","ssh","2 weeks, 6 days, 9 hours, 57 minutes","","3.4","f5","big-ip","vcmp","","","16.1.2.2","","lb",""
"USDC01-LB02-GRPUR-SEC.solera.farm","us,dc01","","","f5-qshb-ojfm","10.119.0.87","ssh","2 weeks, 6 days, 9 hours, 31 minutes","","0.99","f5","big-ip","vcmp","","","16.1.2.2","","lb",""
"USDC01-LB02-BLUENP-SEC.solera.farm","us,dc01","","","f5-qshb-ojfm","10.119.0.89","ssh","2 weeks, 6 days, 9 hours, 32 minutes","","0.96","f5","big-ip","vcmp","","","17.1.1.4","","lb",""
"USDC01-LB02-BLUE-SEC.network.axadmin.net","us,dc01","","","f5-qshb-ojfm","10.119.0.81","ssh","2 weeks, 6 days, 9 hours, 42 minutes","","7.56","f5","big-ip","vcmp","","","16.1.2.2","","lb",""
"USDC01-LB02-BLACK-SEC.solera.farm","us,dc01","","","f5-qshb-ojfm","10.119.0.83","ssh","2 weeks, 6 days, 9 hours, 31 minutes","","0.97","f5","big-ip","vcmp","","","17.1.1.4","","lb",""
"usdc01-fab1-lb-002-black-nonprod.network.axadmin.net","us,dc01","","","f5-qshb-ojfm","10.119.0.91","ssh","2 weeks, 6 days, 9 hours, 58 minutes","","0.86","f5","big-ip","vcmp","","","17.1.1.4","","lb",""
"eudc01-lb-001-test.network.axadmin.net","eu,dc01","","","f5-kceu-zpza","10.119.16.90","ssh","1 year, 10 months, 1 week, 2 days, 3 hours, 55 minutes","","1.73","f5","big-ip","vcmp","","","16.0.1","","lb",""
